event_id,start_date,event_name,category,region,description,expected_direction
1,1990-08-02,Iraqi invasion of Kuwait,Geopolitical Conflict,Middle East,"Iraq invaded Kuwait, removing a major OPEC producer's exports from the market and triggering fears of a wider regional supply disruption.",Increase
2,1991-01-17,Gulf War / Operation Desert Storm begins,Geopolitical Conflict,Middle East,"A US-led coalition launched military action to expel Iraqi forces from Kuwait, raising uncertainty over Gulf oil infrastructure and shipping lanes.","Increase (short-term spike, then decline)"
3,1997-07-02,Asian Financial Crisis begins,Economic Shock,Asia,The collapse of the Thai baht triggered a regional financial crisis that sharply reduced Asian oil demand growth expectations.,Decrease
4,1998-03-01,OPEC production cut agreement,OPEC Decision,Global,"Facing a price collapse from oversupply and weak Asian demand, OPEC and non-OPEC producers agreed to cut output to support prices.",Increase
5,2001-09-11,September 11 terrorist attacks,Geopolitical Conflict,North America,The attacks on the United States created short-term demand uncertainty and broader macroeconomic and geopolitical risk premia in energy markets.,Decrease (short-term)
6,2003-03-20,US-led invasion of Iraq,Geopolitical Conflict,Middle East,The invasion raised concerns about disruption to Iraqi oil production and regional supply stability.,Increase
7,2008-07-11,Brent crude reaches record high (~$147/barrel),Market Price Extreme,Global,"Brent prices peaked amid strong global demand, a weak US dollar, and speculative investment flows, shortly before the financial crisis unwound demand.",Peak / reversal point
8,2008-09-15,Collapse of Lehman Brothers / Global Financial Crisis,Economic Shock,Global,"The onset of the global financial crisis caused a sharp contraction in global demand expectations, driving one of the fastest oil price collapses on record.",Decrease
9,2010-12-18,Onset of the Arab Spring,Geopolitical Conflict,Middle East & North Africa,Widespread political uprisings across MENA countries introduced sustained supply-risk premia across several oil-producing nations.,Increase
10,2011-02-17,Libyan Civil War erupts,Geopolitical Conflict,North Africa,"Civil conflict in Libya sharply curtailed the country's crude exports, tightening supply of light sweet crude grades.",Increase
11,2014-11-27,OPEC declines to cut production (Vienna meeting),OPEC Decision,Global,"OPEC, led by Saudi Arabia, opted to maintain output despite a growing supply glut, prioritizing market share over price support and accelerating a price collapse.",Decrease
12,2016-01-20,Brent crude falls to multi-year low (~$27/barrel),Market Price Extreme,Global,"Sustained oversupply, resilient US shale production, and slowing demand growth drove Brent to its lowest level since the early 2000s.",Trough / reversal point
13,2016-11-30,OPEC+ agreement to cut production (Vienna),OPEC Decision,Global,"OPEC agreed with Russia and other non-OPEC producers to cut output for the first time since 2008, aiming to rebalance the oversupplied market.",Increase
14,2018-11-05,US reimposes sanctions on Iranian oil exports,Sanctions / Policy,Middle East,"Renewed US sanctions targeted Iran's crude exports, tightening available global supply, though waivers granted to some importers softened the impact.",Increase
15,2020-03-08,Saudi Arabia-Russia oil price war begins,OPEC Decision,Global,"After OPEC+ talks collapsed, Saudi Arabia launched a price war by discounting crude and ramping production, causing the largest one-day price drop since 1991.",Decrease
16,2020-04-20,WTI futures turn negative amid COVID-19 demand collapse,Economic Shock,Global,Collapsing global demand from COVID-19 lockdowns combined with storage capacity constraints briefly pushed US crude futures below zero; Brent also fell to multi-decade lows.,Decrease
17,2022-02-24,Russia's invasion of Ukraine,Geopolitical Conflict,Europe / Eurasia,"The invasion triggered sanctions on Russian energy exports and heightened fears of a major global supply disruption, sending Brent above $100/barrel.",Increase
